;x1;x2;u1;e1;u;f1;f2
1;0.020556814795963975;-0.012703863973503074;0.04702708169251292;0.9884773517662412;1.0170095693024106;0.0;0.0
2;0.03582099924029711;0.01348556011899404;0.09301717034789193;0.9967486797414863;1.0191151708418285;0.0;0.0
3;0.015800264524827128;-0.0021425714142807046;0.10726027951596706;0.9847585037229587;1.0500137561169798;0.0;0.0
4;0.0561182133183613;-0.0022865369816386883;0.1257010673827316;1.0347711574305207;1.0735591057246783;0.0;0.0
5;0.16238365005466934;-0.021739137901798124;0.14185197206267522;1.0179205159540137;1.0806026843331076;0.0;0.0
6;0.2369785595584029;-0.027623707936850386;0.15243770533415787;0.9188572515059052;1.037633470655531;0.0;0.0
7;0.2999723119502968;-0.013168072575914415;0.15783665338197755;0.8008691406666859;1.079813989248634;0.0;0.0
8;0.3618926694464782;0.009303876844413523;0.16534156540201517;0.7812247948117254;1.0608784637512736;0.0;0.0
9;0.433114373830833;0.03658966762712424;0.17330501283761626;0.6997789377663736;1.072614303907639;0.0;0.0
10;0.5124372330141539;0.12441196153229861;0.17787780589940136;0.6405806055240668;1.0714547173225948;0.0;0.0
11;0.5684418890894865;0.23713513735873562;0.18205744842712623;0.5585887997649303;1.118750036911501;0.0;0.0
12;0.6182851266615466;0.30427156258730165;0.18919085920804368;0.549897736124972;1.1316032158589535;0.0;0.0
13;0.6781867059131378;0.4098952082784892;0.19625049397152403;0.5113879820331391;1.1429433215545832;0.0;0.0
14;0.7434356452180759;0.5156331534188177;0.2009383076050296;0.4663715592734883;1.1429040513303799;0.0;0.0
15;0.7611584249128384;0.6692367920398897;0.20436481576125615;0.3981173585596633;1.1515631707193557;0.0;0.0
16;0.8765957568223373;0.8206486602327034;0.21000088626612212;0.39044928624550473;1.1590289296981977;0.0;0.0
17;0.8859400275739646;0.9765375423718299;0.21069743718361642;0.28142360054405485;1.1485434766560993;0.0;0.0
18;0.9274602674949863;1.1423106414006277;0.2108149594272393;0.261507914161934;1.1629485709007064;0.0;0.0
19;0.9556511268161245;1.2770772742073753;0.21278128812607486;0.23595564475735878;1.1422748044635442;0.0;0.0
20;0.9381586848388608;1.4044004384254936;0.21245528120322088;0.18461313806049873;1.14600116739845;0.0;0.0
21;0.9387116433957152;1.5808618429513792;0.2141943370775889;0.20808099420228032;1.1706085056314235;0.0;0.0
22;0.965943718018232;1.6955537501225115;0.22039053732147923;0.23192269244010993;1.2105969011277167;0.0;0.0
23;0.9911662220898385;1.840183537709998;0.22568722859371848;0.24367570317607648;1.2152683760604914;0.0;0.0
24;0.9785241144378629;1.8999381058502818;0.228999838742893;0.22376272737823483;1.1971561899616157;0.0;0.0
